NamaBarang,Harga,terjual
ASUS Vivobook Go 15 OLED E1504FA-OLED353 - Green Grey [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 15.6inch / WIN11 / OHS],Rp7.899.000,30+ terjual
ASUS Vivobook Go 15 OLED E1504FA-OLED352 - Mixed Black [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 15.6inch / WIN11 / OHS],Rp7.599.000,40+ terjual
ASUS ROG Strix G16 G614JV-I746CLG-O - Eclipse Gray [NO BAG],Rp29.999.000,7 terjual
ASUS ROG Strix G16 G614JU-I745JLG-O - Eclipse Gray [NO BAG] [Intel Core i7-13650HX / NVIDIA GeForce RTX 4050 / 16GB / 512GB / 16inch / WIN11],Rp25.599.000,7 terjual
ASUS ROG Zephyrus G14 GA403UU-R745OLLG-O - Eclipse Gray [NO BAG],Rp29.999.000,3 terjual
ASUS TUF Gaming A16 Advantage FA617NSR-R7X2JLT-O - Off Black [NO BAG] [AMD Ryzen 7 7435HS / AMD Radeon RX 7600S / 16GB / 512GB / 16inch / WIN11],Rp18.799.000,5 terjual
ASUS TUF Gaming F16 FX607JU-I745J1M-O - Mecha Gray [Intel Core i7-13650HX / NVIDIA GeForce RTX 4050 / 16GB / 512GB / 16inch / WIN11 / OHS],Rp21.999.000,5 terjual
ASUS Vivobook 14 A1404VA-VIPS351 - Quiet Blue [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS],Rp7.499.000,29 terjual
ASUS Vivobook E210MAO-HD4515 - Peacock Blue [Intel Celeron N4020 / Intel UHD Graphics 600 / 8GB / 512GB / 11.6inch / WIN11 / OHS],Rp4.399.000,60+ terjual
[BAZAAR] ASUS Vivobook Go 14 E1404FA-FHD351 - Mixed Black,Rp6.799.000,10 terjual
ASUS ROG Ally - RC71L-R1RADA2W with Travel Case,Rp9.899.000,10 terjual
[ADD ON RAM 8GB]ASUS VivoBook S 14 Flip TN3402QA-VIPS552 - Cool Silver,Rp10.279.000,60+ terjual
ASUS Marshmallow Keyboard KW100 - Green Tea Latte,Rp799.000,10 terjual
